date,OT,blkio.throttle.io_service_bytes_Async,blkio.throttle.io_service_bytes_Read,container_cpu_usage_seconds_total,container_memory_active_file,container_memory_hierarchical_memory_limit,container_memory_rss,container_network_tcp_TimeWait,cpu.busy,mem.memused,net.if.in.bytes
2018-07-24 01:16:00,2.82,34910744576.0,32145408.0,4.018290459e+16,15565352960.0,68719476736.0,10565730304.0,4.0,308.81,77.6,30161806.7
2018-07-24 01:16:30,2.82,28207558656.0,4738228224.0,4.018301517e+16,15565352960.0,68719476736.0,10565185536.0,9.0,374.05,77.6,22353017.07
2018-07-24 01:17:00,2.73,55459840.0,4738228224.0,4.018306191e+16,15565352960.0,68719476736.0,10564923392.0,6.0,156.4,77.6,987.87
2018-07-24 01:17:30,2.64,28207562752.0,4498563072.0,4.018306244e+16,15565352960.0,68719476736.0,10564927488.0,0.0,3.21,77.6,1028.63
2018-07-24 01:18:00,2.69,55459840.0,32145408.0,4.018314993e+16,15565438976.0,68719476736.0,10565083136.0,4.0,302.17,77.6,31132638.0
2018-07-24 01:18:30,2.63,55459840.0,4498563072.0,4.018322754e+16,15565447168.0,68719476736.0,10564403200.0,9.0,260.97,77.6,7370799.97
2018-07-24 01:19:00,2.55,55459840.0,4498563072.0,4.018325196e+16,15565455360.0,68719476736.0,10564403200.0,0.0,82.14,77.6,1122.03
2018-07-24 01:19:30,2.46,28207607808.0,32145408.0,4.018325259e+16,15565455360.0,68719476736.0,10564403200.0,1.0,3.12,77.6,1000.0
2018-07-24 01:20:00,2.61,28207607808.0,32145408.0,4.018338562e+16,15565475840.0,68719476736.0,10565197824.0,7.0,467.43,77.6,52857855.3
2018-07-24 01:20:30,2.66,28207722496.0,32145408.0,4.01835439e+16,15565484032.0,68719476736.0,10565099520.0,17.0,536.94,77.6,29638982.23
2018-07-24 01:21:00,2.57,55459840.0,4498563072.0,4.018363826e+16,15565492224.0,68719476736.0,10565394432.0,14.0,315.34,77.6,3928.27
2018-07-24 01:21:30,2.49,28207845376.0,32145408.0,4.018363898e+16,15565492224.0,68719476736.0,10565394432.0,0.0,3.17,77.6,1664.67
2018-07-24 01:22:00,2.44,55459840.0,32145408.0,4.018366533e+16,15565504512.0,68719476736.0,10565394432.0,1.0,90.63,77.6,7491760.77
2018-07-24 01:22:30,2.36,55459840.0,4498563072.0,4.018367166e+16,15565504512.0,68719476736.0,10565398528.0,0.0,22.01,77.6,1801.93
2018-07-24 01:23:00,2.28,55459840.0,4498563072.0,4.018367228e+16,15565508608.0,68719476736.0,10565398528.0,0.0,3.14,77.6,912.27
2018-07-24 01:23:30,2.2,55459840.0,32145408.0,4.018367291e+16,15565508608.0,68719476736.0,10565398528.0,0.0,3.12,77.6,1454.07
2018-07-24 01:24:00,2.33,55459840.0,32145408.0,4.018378003e+16,15565541376.0,68719476736.0,10565357568.0,5.0,371.02,77.6,37915817.57
2018-07-24 01:24:30,2.35,28207898624.0,32145408.0,4.018390884e+16,15565545472.0,68719476736.0,10564571136.0,13.0,435.65,77.6,22161294.8
2018-07-24 01:25:00,2.27,55459840.0,4498563072.0,4.018397315e+16,15565549568.0,68719476736.0,10564616192.0,11.0,215.45,77.6,1053.33
